id,name,slug,searchName,description,isActive
w5mGEtExH8fiTsX0h7W5,Bosch,bosch,bosch,"Global leader in braking, electrical, fuel injection, filters, wipers & sensors",true
iTjtamuIMpPRPDt0E1oW,Denso,denso,denso,"Premier OE supplier of radiators, starters, alternators, spark plugs & AC systems",true
vKUVwVdYBz6fbkivURiK,Valeo,valeo,valeo,"World specialist in clutch systems, lighting, wipers, starters & thermal management",true
dI5psFp8NW79IvhFg6yK,Continental,continental,continental,"Advanced timing/drive belts, automotive electronics, braking systems & tyres",true
ONmpDSAYECoYrxj454GA,ZF,zf,zf,"Global leader in driveline, transmissions, steering gear & chassis technology",true
ueSRIdnqn4CbtVsAbmHG,Mahle,mahle,mahle,"Pistons, engine components, filtration systems & thermal management",true
V0TCQE1VzKKrB5Zj92IG,LuK (Schaeffler),luk-schaeffler,lukschaeffler,"World-renowned clutch kits, flywheels, release bearings & hydraulics",true
pQBa7U5TnErDsmUcL4in,INA (Schaeffler),ina-schaeffler,inaschaeffler,"Precision timing tensioners, idler pulleys, valvetrain & hydraulic tappets",true
Y4i3vSZDEPWtnisu3Vdv,FAG (Schaeffler),fag-schaeffler,fagschaeffler,"High-precision automotive wheel bearings, hub units & suspension bearings",true
EWFYii2M35f2ds6AJ63V,Brembo,brembo,brembo,"World benchmark in performance and OEM brake pads, brake discs & calipers",true
v3opkEaTxdOZzLXZxxWW,Delphi Technologies,delphi-technologies,delphitechnologies,"Fuel injection systems, ignition coils, steering & suspension parts",true
gy3XP8dqijNlKvUsdV3r,TRW,trw,trw,"Global leader in braking systems, steering racks, tie rods, ball joints & linkages",true
naGnVtOBgNuRXFMDIbXp,SKF,skf,skf,"World leader in wheel bearing kits, hub units, timing belt kits & water pumps",true
mT3LsSl9sU7edqjnJRmB,Gates,gates,gates,"Industry standard for automotive timing belts, serpentine drive belts & hoses",true
2ukZHzYocClU0HyGxrxm,Febi Bilstein,febi-bilstein,febibilstein,"German replacement specialist for steering, suspension, engine & electrical parts",true
RG0XFtk8EejHpYLy1r2T,Monroe,monroe,monroe,"Leading manufacturer of automotive shock absorbers, struts & ride control",true
lqOlOQdFxEnDGHHLg6UT,Sachs,sachs,sachs,"High-performance German shock absorbers, strut mounts & clutch systems",true
EkJCvN19Cd79Oj6YJyzA,KYB (Kayaba),kyb-kayaba,kybkayaba,Precision Japanese gas and hydraulic shock absorbers & strut assemblies,true
9a0NifjWAAR8sSWmhKzA,NGK,ngk,ngk,"World leading manufacturer of spark plugs, glow plugs & oxygen sensors",true
8328ycvbOGql2xOyzGH9,Mann-Filter,mann-filter,mannfilter,"Premium European OE and aftermarket engine oil, air, fuel & cabin filters",true
zhtwzKUn3m73TK8IZYNd,Hella,hella,hella,"Automotive lighting technology, electric horns, relays, switches & electronics",true
2NxMKBMAOMy5DKCAeAuZ,Aisin,aisin,aisin,"Japanese OE manufacturer of clutch kits, water pumps & transmission parts",true
irKCFI3NWtOvjcfh44Q9,Magneti Marelli,magneti-marelli,magnetimarelli,"Automotive lighting, electronic control units, throttle bodies & sensors",true
6g9k7L39xqR2Ij5i3iRG,BorgWarner,borgwarner,borgwarner,"Turbochargers, emission valves, EGR coolers & drivetrain systems",true
0KWD3YbIusIuokKHBLy5,Goetze (Federal-Mogul),goetze-federal-mogul,goetzefederalmogul,"Piston rings, cylinder liners, engine pistons & block components",true
V9coiqHdoHLschXl14TS,Ferodo,ferodo,ferodo,"Pioneering brake pads, brake linings, brake shoes & brake fluids",true
ZUmdNJ9RGsbrR1RAeiwD,Bilstein,bilstein,bilstein,Premium gas-pressure shock absorbers & high-performance car suspensions,true
PIIVLv9trjKxJ9r17XMD,Dayco,dayco,dayco,"Automotive timing belts, serpentine belts, tensioners & damper pulleys",true
66mDOhh7LbkE8HjVbTfU,GMB,gmb,gmb,"Automotive water pumps, universal joints, wheel bearings & belt tensioners",true
6J2JigOkXiKcXkkwUWkG,Exedy,exedy,exedy,Japanese premier standard and heavy-duty clutch kits & friction discs,true
qhTelzNlZIXpuqtYfhMx,Timken,timken,timken,"Engineered tapered roller bearings, wheel hubs & mechanical power transmission",true
gPTN7UzC4ELKXbKpJ2by,Victor Reinz,victor-reinz,victorreinz,"Cylinder head gaskets, valve cover gaskets, manifold gaskets & oil seals",true
YUaozdDPaXXQEsbBy4A2,Champion,champion,champion,"Automotive spark plugs, ignition cables & premium windshield wiper blades",true
D9EDnYQ4dyeYl3jYiqeW,Koyo (JTEKT),koyo-jtekt,koyojtekt,"Automotive bearings, steering rack assemblies & wheel hub units",true
khP8tjoj1bwozWNKEQou,NSK,nsk,nsk,"High-precision automotive bearings, hub unit bearings & EPS steering components",true
46EL3VzVtVkvGfJoAYjC,NTN,ntn,ntn,"Japanese bearings, constant velocity (CV) joints & wheel hub units",true
Ydq6mFTPygdXSiJY1dlf,Bando,bando,bando,"Automotive ribbed serpentine belts, V-belts & timing belts",true
3OEADQxWj1XNq1rjzgTb,Hitachi Astemo / Tokico,hitachi-astemo-tokico,hitachiastemotokico,"Automotive shock absorbers, brake calipers & ignition coils",true
jW3FPAIMtTI0nikgkEB6,Mando,mando,mando,"Steering racks, brake master cylinders, suspension struts & electronics",true
X6Yz5kh2Oaq3QdjhwjcD,Behr Hella Service,behr-hella-service,behrhellaservice,"Automotive radiators, AC condensers, cooling fans & interior blowers",true
DW9khfTRSUZRV8wQSQBB,Uno Minda,uno-minda,unominda,"Leading Indian manufacturer of switches, horns, lighting, alloy wheels & sensors",true
zxrTggIXEQxwBicHGbLs,Spark Minda (Minda Corp),spark-minda-minda-corp,sparkmindamindacorp,"Automotive security systems, locks, ignition switches, wiring & sensors",true
f50hkcCoaRA94VycgFSK,Lumax Industries,lumax-industries,lumaxindustries,"Major Indian OE lighting supplier: headlights, tail lamps & fog lamps",true
jAziFs4Hfk1WKStZZ4v6,Lucas TVS,lucas-tvs,lucastvs,"Premier Indian OE manufacturer of starters, alternators, wiper motors & coils",true
REHAGPYujuKggnN2Sk09,Subros,subros,subros,"India's largest manufacturer of automotive AC compressors, condensers & radiators",true
KLHK8en6CVHAWeD6FHlM,Gabriel India,gabriel-india,gabrielindia,"Pioneering Indian ride control: shock absorbers, MacPherson struts & gas springs",true
wg357DDutuFy7sjhsdya,Rane Madras,rane-madras,ranemadras,"Steering gear assemblies, tie rod ends, drag links & suspension ball joints",true
TcmuRVhamSYpdbdu0Arl,Rane Brake Lining,rane-brake-lining,ranebrakelining,"Safety-critical brake linings, disc brake pads & clutch facings",true
WkIA6M9CssdsolXjN8MU,Rane TRW,rane-trw,ranetrw,Hydraulic and electric power steering systems & occupant safety modules,true
uJHn0j64XjbIx9ubGhWW,Motherson Sumi,motherson-sumi,mothersonsumi,"Rear view mirrors, wiring harnesses, polymer modules & exterior trims",true
2CD9b25fj5cv8wK63EfY,Purolator India,purolator-india,purolatorindia,"Leading filtration brand: oil filters, fuel filters, air filters & cabin filters",true
6NRPyblNItGcXF8Suqi7,Elofic Industries,elofic-industries,eloficindustries,"Established Indian filter manufacturer: automotive filters, lubricants & greases",true
OnLe5L5gzyZZ08dwnIVR,Sona Comstar,sona-comstar,sonacomstar,"Precision starter motors, differential assemblies, bevel gears & EV traction",true
qeRTNp2ZMczTI7WFjtYo,Talbros Automotive,talbros-automotive,talbrosautomotive,"Automotive gaskets, heat shields, suspension control arms & linkages",true
tuGZ1EQEwe5R5DHJa7Ye,Banco Products,banco-products,bancoproducts,"Engine cooling radiators, charge air coolers, oil coolers & engine gaskets",true
6P4tcsA7R4TQss0EYU6W,Anand Group,anand-group,anandgroup,"Automotive systems: shock absorbers, braking systems, filtration & thermal",true
4tBWTd7IZJAEPYrnkcqi,Brakes India (TVS),brakes-india-tvs,brakesindiatvs,"Manufacturer of TVS Girling brake systems, calipers, cylinders & brake pads",true
gYklqp09vZOdnqLioXzH,TVS Automobile Solutions,tvs-automobile-solutions,tvsautomobilesolutions,Integrated automotive aftermarket parts supply and multi-brand service,true
Zf84CWrLBdq3tu3z94dl,Jamna Auto Industries (JAI),jamna-auto-industries-jai,jamnaautoindustriesjai,India's largest manufacturer of automotive suspension leaf & parabolic springs,true
6F8ZJ8dkOaThk5hJK2s0,Varroc,varroc,varroc,"Automotive exterior lighting, engine valves, electronic control modules",true
aDNi8avTADacPKztqTZx,Suprajit Engineering,suprajit-engineering,suprajitengineering,"World leader in automotive mechanical control cables (clutch, brake, throttle)",true
xPWYRK1t4G8LoKS2BgP2,Jay Bharat Maruti (JBM),jay-bharat-maruti-jbm,jaybharatmarutijbm,"Body chassis components, exhaust systems, fuel tanks & stamped assemblies",true
W3ItVMqnimZtK9utJ8lq,Pricol,pricol,pricol,"Driver information systems, instrument clusters, speed sensors & fuel senders",true
HsC7AlvVRh8FvW4ikWee,Wheels India,wheels-india,wheelsindia,Steel and forged alloy wheels for passenger cars and commercial vehicles,true
XgUgVXWrGp6m3ULKSgdd,Steel Strips Wheels (SSWL),steel-strips-wheels-sswl,steelstripswheelssswl,Producer of steel wheel rims and alloy wheels for top car manufacturers in India,true
l758l9ZNG3kTTfaSKupl,Sundram Fasteners,sundram-fasteners,sundramfasteners,"High-tensile engine bolts, wheel fasteners, radiator caps & water pumps",true
nv7YsFDSeqzTI6HsgmNu,Sterling Tools,sterling-tools,sterlingtools,Cold-forged automotive high-tensile fasteners and chassis bolts,true
3WYKA5C2fN3bTNUaJVHo,Super Circle,super-circle,supercircle,"Automotive friction materials: brake pads, brake shoes & roll linings",true
2dG8IQiWw418TtbmfrkD,Phoenix Lamps,phoenix-lamps,phoenixlamps,"Automotive halogen lamps, miniature bulbs & headlight lighting",true
2PvnPC1j5uSgoXHqEJHA,Halonix Technologies,halonix-technologies,halonixtechnologies,"Automotive headlight bulbs, LED upgrade kits & auxiliary fog lamps",true
SuzUOwiO8gAbUcK4dXCJ,Autolite India (Autopal),autolite-india-autopal,autoliteindiaautopal,"Headlamps, halogen bulbs, tail lights & front auxiliary lighting",true
ySoKKuVXMUrSr6ClKG3H,Roots Industries,roots-industries,rootsindustries,"Automotive electric horns, backup alarms, flashers & electronic relays",true
SUmrXRQzAlBTacKksPkN,Sansera Engineering,sansera-engineering,sanseraengineering,"Precision-forged connecting rods, rocker arms, crankshafts & gear parts",true
dbnEwHpIPl3gTNEfa99m,Endurance Technologies,endurance-technologies,endurancetechnologies,"Alloy wheels, transmission casings, suspension struts & braking assemblies",true
RO7mHvS2oVrKNT5ck2MZ,UFI Filters India,ufi-filters-india,ufifiltersindia,"Specialized fuel filters, diesel filtration systems & oil filter modules",true
7kj78SHo8WbolkXBJXDP,Fleetguard Filters,fleetguard-filters,fleetguardfilters,"High-capacity heavy filtration systems, fuel water separators & coolants",true
4FWO6wtvU2aklrqFWYRi,Sogefi (Purflux),sogefi-purflux,sogefipurflux,"Engine oil filtration systems, air intake manifolds & suspension springs",true
BIUkT81GDYBEHneg2e8i,GNA Axles,gna-axles,gnaaxles,"Automotive drive axles, rear axle shafts, spindle shafts & driveline",true
ydq7LrKRhNBZMVYCAyCl,Shriram Pistons & Rings (SPR),shriram-pistons-rings-spr,shrirampistonsringsspr,"Pistons, piston pins, piston rings & engine valves for Indian automobiles",true
gHTI5NxHAlbkboDbQ6sw,Federal-Mogul Goetze India,federal-mogul-goetze-india,federalmogulgoetzeindia,"Engine piston rings, cylinder liners & block overhaul components",true
2uaKf5obVGFbJJQNdmBd,Amaron (Amara Raja),amaron-amara-raja,amaronamararaja,"India's leading long-life, zero-maintenance automotive batteries with SilvenX",true
J7zRKI26K9evpuSMlGAE,Exide Industries,exide-industries,exideindustries,India's pioneer in automotive starting batteries and advanced power storage,true
Vf6WnyitLhP6MaKTdc1G,SF Sonic,sf-sonic,sfsonic,High-cranking automotive starter batteries engineered for rugged conditions,true
G7B8y3RGdDH62DC01jbr,Tata Green Batteries,tata-green-batteries,tatagreenbatteries,"Eco-friendly, durable automotive lead-acid batteries for passenger cars",true
Tl5lRqfedjovzD78Beyu,Livguard,livguard,livguard,Automotive batteries and advanced electronic power solutions,true
6pHSzfP8BJaOOgPDUtoz,MRF,mrf,mrf,"India's largest tyre manufacturer: passenger car radials (ZLX, Wanderer, Perfinza)",true
aMZ458FK9zDVbn1eukpR,Apollo Tyres,apollo-tyres,apollotyres,"Leading Indian tyre manufacturer: passenger car radials (Alnac 4G, Amazer 4G)",true
HcqqWkXOmHsogaB2qEOj,CEAT,ceat,ceat,"Passenger car radial tyres engineered for superior grip (SecuraDrive, Milaze X3)",true
Cm16t7RzEoYZAAtYEtWd,JK Tyre,jk-tyre,jktyre,Pioneer of radial tyres in India: passenger car UX Royale & Vectra series,true
7YxKiHeZ7sZbnIqfRUM1,Bridgestone India,bridgestone-india,bridgestoneindia,Premium Japanese passenger car tyres engineered for durability & comfort,true
PEIh0DtxdXlCtjFV4pSv,Goodyear India,goodyear-india,goodyearindia,Renowned passenger car tyres: Assurance TripleMax and Eagle EfficientGrip,true
3b8gKDbi30oL8UTUj2o7,Michelin India,michelin-india,michelinindia,Premium comfort and high-mileage passenger car tyres: Primacy & Energy XM2+,true
yLY8GLfhxEvlJ0YMtYm5,Yokohama India,yokohama-india,yokohamaindia,Japanese engineered tyres: Earth-1 high-durability and BluEarth series,true
t5aqiIrJ1yS3qEs2q6kO,Castrol India,castrol-india,castrolindia,"Premium automotive engine oils (Magnatec, EDGE, GTX) & DOT 4 brake fluids",true
eT2UMRlUBEsPvsO7WJ9Q,Mobil 1,mobil-1,mobil1,World's leading synthetic motor oils & advanced automatic transmission fluids,true
CSQhVFy43OJen6QWhVxs,Shell India,shell-india,shellindia,Shell Helix fully synthetic engine oils with PurePlus natural gas technology,true
6iCaGcDWOEonRhP5vbDD,Motul,motul,motul,High-performance ester-based synthetic engine oils & racing brake fluids,true
aXogrLnQgF5K3co5ErPe,TotalEnergies,totalenergies,totalenergies,"Quartz series synthetic engine lubricants, coolants & transmission fluids",true
mw7iv4zzgT9t8rN3Tu6o,Gulf Oil India,gulf-oil-india,gulfoilindia,"Automotive engine lubricants, gear oils, coolants & brake fluids",true
4mDMa8ZEc0nUoMQYNbcn,Valvoline India,valvoline-india,valvolineindia,"Advanced engine lubricants, multi-vehicle ATFs & synthetic coolants",true
